incits_code,county_name,state,pop_rank,pop_2013
2013,Aleutians East Borough,AK,2969,"3,092"
2016,Aleutians West Census Area,AK,2806,"5,511"
2020,"Anchorage, Municipality of",AK,220,"300,950"
2050,Bethel Census Area,AK,1931,"17,758"
2060,Bristol Bay Borough,AK,3110,960
2068,Denali Borough,AK,3068,"1,867"
2070,Dillingham Census Area,AK,2838,"5,010"
2090,Fairbanks North Star Borough,AK,589,"100,436"
2100,Haines Borough,AK,3004,"2,592"
2105,Hoonah–Angoon Census Area,AK,3040,"2,145"
2110,"Juneau, City and Borough of",AK,1368,"32,660"
2122,Kenai Peninsula Borough,AK,893,"57,147"
2130,Ketchikan Gateway Borough,AK,2194,"13,729"
2150,Kodiak Island Borough,AK,2162,"14,135"
2270,Kusilvak Census Area,AK,2601,"7,977"
2164,Lake and Peninsula Borough,AK,3076,"1,648"
2170,Matanuska-Susitna Borough,AK,613,"95,192"
2180,Nome Census Area,AK,2451,"9,892"
2185,North Slope Borough,AK,2461,"9,686"
2188,Northwest Arctic Borough,AK,2623,"7,685"
2195,Petersburg Borough,AK,2922,"3,774"
2198,Prince of Wales – Hyder Census Area,AK,2782,"5,786"
2220,"Sitka, City and Borough of",AK,2519,"9,020"
2230,"Skagway, Municipality of",AK,3108,995
2240,Southeast Fairbanks Census Area,AK,2686,"6,985"
2261,Valdez–Cordova Census Area,AK,2456,"9,763"
2275,"Wrangell, City and Borough of",AK,3013,"2,400"
2282,"Yakutat, City and Borough of",AK,3131,642
2290,Yukon–Koyukuk Census Area,AK,2788,"5,695"
1001,Autauga,AL,911,"55,246"
1003,Baldwin,AL,329,"195,540"
1005,Barbour,AL,1531,"27,076"
1007,Bibb,AL,1708,"22,512"
1009,Blount,AL,884,"57,872"
1011,Bullock,AL,2386,"10,639"
1013,Butler,AL,1828,"20,265"
1015,Calhoun,AL,522,"116,736"
1017,Chambers,AL,1323,"34,162"
1019,Cherokee,AL,1555,"26,203"
1021,Chilton,AL,1087,"43,951"
1023,Choctaw,AL,2216,"13,426"
1025,Clarke,AL,1599,"25,207"
1027,Clay,AL,2211,"13,486"
1029,Cleburne,AL,2108,"14,994"
1031,Coffee,AL,970,"50,938"
1033,Colbert,AL,919,"54,520"
1035,Conecuh,AL,2244,"12,887"
1037,Coosa,AL,2367,"10,898"
1039,Covington,AL,1224,"37,886"
1041,Crenshaw,AL,2174,"13,986"
1043,Cullman,AL,687,"80,811"
1045,Dale,AL,983,"49,884"
1047,Dallas,AL,1128,"41,996"
1049,DeKalb,AL,755,"71,013"
1051,Elmore,AL,685,"80,902"
1053,Escambia,AL,1219,"37,983"
1055,Etowah,AL,566,"103,931"
1057,Fayette,AL,1988,"16,909"
1059,Franklin,AL,1400,"31,532"
1061,Geneva,AL,1543,"26,727"
1063,Greene,AL,2542,"8,744"
1065,Hale,AL,2081,"15,406"
1067,Henry,AL,1966,"17,296"
1069,Houston,AL,567,"103,668"
1071,Jackson,AL,941,"52,951"
1073,Jefferson,AL,95,"659,479"
1075,Lamar,AL,2157,"14,236"
1077,Lauderdale,AL,625,"92,797"
1079,Lawrence,AL,1336,"33,587"
1081,Lee,AL,423,"150,933"
1083,Limestone,AL,644,"88,845"
1085,Lowndes,AL,2381,"10,703"
1087,Macon,AL,1848,"19,688"
1089,Madison,AL,193,"346,892"
1091,Marengo,AL,1833,"20,155"
1093,Marion,AL,1422,"30,334"
1095,Marshall,AL,615,"94,760"
1097,Mobile,AL,166,"414,079"
1099,Monroe,AL,1719,"22,236"
1101,Montgomery,AL,283,"226,659"
1103,Morgan,AL,510,"119,787"
1105,Perry,AL,2436,"10,020"
1107,Pickens,AL,1863,"19,401"
1109,Pike,AL,1343,"33,339"
1111,Randolph,AL,1696,"22,727"
1113,Russell,AL,869,"59,585"
1117,Shelby,AL,311,"204,180"
1115,St. Clair,AL,659,"86,308"
1119,Sumter,AL,2222,"13,361"
1121,Talladega,AL,683,"81,096"
1123,Tallapoosa,AL,1146,"41,203"
1125,Tuscaloosa,AL,317,"200,821"
1127,Walker,AL,799,"65,998"
1129,Washington,AL,1990,"16,877"
1131,Wilcox,AL,2336,"11,307"
1133,Winston,AL,1639,"24,146"
5001,Arkansas,AR,1884,"18,777"
5003,Ashley,AR,1763,"21,283"
5005,Baxter,AR,1154,"40,957"
5007,Benton,AR,276,"237,297"
5009,Boone,AR,1238,"37,396"
5011,Bradley,AR,2340,"11,249"
5013,Calhoun,AR,2821,"5,241"
5015,Carroll,AR,1506,"27,808"
5017,Chicot,AR,2335,"11,335"
5019,Clark,AR,1695,"22,743"
5021,Clay,AR,2082,"15,402"
5023,Cleburne,AR,1574,"25,686"
5025,Cleveland,AR,2556,"8,593"
5027,Columbia,AR,1638,"24,164"
5029,Conway,AR,1765,"21,245"
5031,Craighead,AR,582,"101,488"
5033,Crawford,AR,846,"61,640"
5035,Crittenden,AR,987,"49,746"
5037,Cross,AR,1947,"17,548"
5039,Dallas,AR,2604,"7,933"
5041,Desha,AR,2268,"12,505"
5043,Drew,AR,1883,"18,785"
5045,Faulkner,AR,511,"119,580"
5047,Franklin,AR,1915,"18,034"
5049,Fulton,AR,2283,"12,304"
5051,Garland,AR,601,"97,173"
5053,Grant,AR,1916,"18,019"
5055,Greene,AR,1109,"43,097"
5057,Hempstead,AR,1710,"22,474"
5059,Hot Spring,AR,1339,"33,500"
5061,Howard,AR,2203,"13,581"
5063,Independence,AR,1247,"36,997"
5065,Izard,AR,2219,"13,368"
5067,Jackson,AR,1941,"17,615"
5069,Jefferson,AR,743,"73,191"
5071,Johnson,AR,1568,"25,846"
5073,Lafayette,AR,2656,"7,252"
5075,Lawrence,AR,1978,"17,011"
5077,Lee,AR,2437,"10,015"
5079,Lincoln,AR,2171,"14,031"
5081,Little River,AR,2255,"12,730"
5083,Logan,AR,1727,"22,082"
5085,Lonoke,AR,756,"70,753"
5087,Madison,AR,2064,"15,701"
5089,Marion,AR,2017,"16,430"
5091,Miller,AR,1103,"43,402"
5093,Mississippi,AR,1074,"44,765"
5095,Monroe,AR,2625,"7,682"
5097,Montgomery,AR,2501,"9,226"
5099,Nevada,AR,2535,"8,799"
5101,Newton,AR,2596,"8,064"
5103,Ouachita,AR,1608,"25,002"
5105,Perry,AR,2407,"10,345"
5107,Phillips,AR,1820,"20,399"
5109,Pike,AR,2348,"11,177"
5111,Poinsett,AR,1640,"24,145"
5113,Polk,AR,1819,"20,406"
5115,Pope,AR,832,"62,547"
5117,Prairie,AR,2574,"8,374"
5119,Pulaski,AR,172,"391,284"
5121,Randolph,AR,1937,"17,692"
5125,Saline,AR,530,"114,404"
5127,Scott,AR,2362,"10,950"
5129,Searcy,AR,2599,"8,023"
5131,Sebastian,AR,484,"127,342"
5133,Sevier,AR,1960,"17,366"
5135,Sharp,AR,1977,"17,049"
5123,St. Francis,AR,1520,"27,260"
5137,Stone,AR,2265,"12,581"
5139,Union,AR,1162,"40,694"
5141,Van Buren,AR,1984,"16,932"
5143,Washington,AR,290,"216,410"
5145,White,AR,701,"78,483"
5147,Woodruff,AR,2676,"7,072"
5149,Yell,AR,1738,"21,893"
4001,Apache,AZ,748,"71,934"
4003,Cochise,AZ,480,"129,473"
4005,Coconino,AZ,459,"136,539"
4007,Gila,AZ,938,"53,053"
4009,Graham,AZ,1233,"37,482"
4011,Greenlee,AZ,2513,"9,049"
4012,La Paz,AZ,1823,"20,324"
4013,Maricopa,AZ,4,"4,009,412"
4015,Mohave,AZ,313,"203,030"
4017,Navajo,AZ,557,"107,322"
4019,Pima,AZ,42,"996,554"
4021,Pinal,AZ,174,"389,350"
4023,Santa Cruz,AZ,1030,"46,768"
4025,Yavapai,AZ,293,"215,133"
4027,Yuma,AZ,316,"201,201"
6001,Alameda,CA,21,"1,578,891"
6003,Alpine,CA,3103,"1,159"
6005,Amador,CA,1260,"36,519"
6007,Butte,CA,287,"222,090"
6009,Calaveras,CA,1078,"44,515"
6011,Colusa,CA,1758,"21,358"
6013,Contra Costa,CA,38,"1,094,205"
6015,Del Norte,CA,1502,"27,873"
6017,El Dorado,CA,349,"181,737"
6019,Fresno,CA,49,"955,272"
6021,Glenn,CA,1496,"27,940"
6023,Humboldt,CA,469,"134,493"
6025,Imperial,CA,358,"176,584"
6027,Inyo,CA,1896,"18,467"
6029,Kern,CA,60,"864,124"
6031,Kings,CA,422,"150,960"
6033,Lake,CA,822,"63,860"
6035,Lassen,CA,1386,"32,163"
6037,Los Angeles,CA,1,"10,017,068"
6039,Madera,CA,416,"152,389"
6041,Marin,CA,257,"258,365"
6043,Mariposa,CA,1932,"17,755"
6045,Mendocino,CA,652,"87,192"
6047,Merced,CA,254,"263,228"
6049,Modoc,CA,2504,"9,147"
6051,Mono,CA,2166,"14,074"
6053,Monterey,CA,161,"428,826"
6055,Napa,CA,450,"140,326"
6057,Nevada,CA,599,"98,200"
6059,Orange,CA,6,"3,114,363"
6061,Placer,CA,183,"367,309"
6063,Plumas,CA,1878,"18,859"
6065,Riverside,CA,11,"2,292,507"
6067,Sacramento,CA,25,"1,462,131"
6069,San Benito,CA,885,"57,600"
6071,San Bernardino,CA,12,"2,088,371"
6073,San Diego,CA,5,"3,211,252"
6075,"San Francisco, City and of",CA,66,"837,442"
6077,San Joaquin,CA,87,"704,379"
6079,San Luis Obispo,CA,241,"276,443"
6081,San Mateo,CA,82,"747,373"
6083,Santa Barbara,CA,158,"435,697"
6085,Santa Clara,CA,16,"1,862,041"
6087,Santa Cruz,CA,248,"269,419"
6089,Shasta,CA,355,"178,980"
6091,Sierra,CA,2973,"3,047"
6093,Siskiyou,CA,1092,"43,799"
6095,Solano,CA,162,"424,788"
6097,Sonoma,CA,137,"495,025"
6099,Stanislaus,CA,125,"525,491"
6101,Sutter,CA,612,"95,350"
6103,Tehama,CA,831,"63,057"
