respondent_id,age_bin,gender,group_size,backpacking,training,fitness,footwear,pack_weight_bin,pack_weight_body_weight_bin,mi_day_bin,dificulty,whitney
3520370381,50 to 59,Male,Group of 2+,Over 100,5 to 8,Average,Trail runners,Under 25,Under 16%,10 to 12,Fairly,Attempted
3671972039,40 to 49,Male,Solo,11 to 20,5 to 8,Out of shape,Boots,Under 25,Under 16%,10 to 12,Fairly,Attempted
3555123761,40 to 49,Male,Group of 2+,51 to 100,5 to 8,Average,Trail runners,Under 25,Under 16%,20 and up,Very,Attempted
3520110935,Under 30,Female,Mix of group/solo,6 to 10,9 to 16,Above avg.,Trail runners,Under 25,Under 16%,14 to 16,Fairly,Summited
3524147804,30 to 39,Male,Solo,51 to 100,Under 2,Out of shape,Hiking shoes,30 to 35,Under 16%,8 to 10,Very,Attempted
3685689480,50 to 59,Male,Group of 2+,Over 100,5 to 8,Below avg.,Boots,Under 25,Under 16%,10 to 12,Somewhat,Summited
3520422666,60 and up,Male,Group of 2+,21 to 50,5 to 8,Above avg.,Hiking shoes,25 to 30,Under 16%,10 to 12,Somewhat,Not planned
3531208717,50 to 59,Male,Solo,Over 100,9 to 16,Above avg.,Hiking shoes,Under 25,Under 16%,20 and up,Somewhat,Summited
3570775970,30 to 39,Male,Solo,Over 100,5 to 8,Above avg.,Trail runners,Under 25,Under 16%,10 to 12,Somewhat,Attempted
3673360537,30 to 39,Male,Group of 2+,51 to 100,5 to 8,Out of shape,Boots,30 to 35,Under 16%,10 to 12,Very,Attempted
3604842554,50 to 59,Female,Group of 2+,11 to 20,9 to 16,Sig. above avg.,Trail runners,Under 25,Under 16%,14 to 16,Minimally,Summited
3541761232,30 to 39,Male,Group of 2+,51 to 100,5 to 8,Average,Trail runners,Under 25,Under 16%,14 to 16,Somewhat,Attempted
3612364060,50 to 59,Female,Solo,11 to 20,2 to 4,Average,Trail runners,Under 25,Under 16%,8 to 10,Somewhat,Not planned
3520506108,40 to 49,Male,Solo,51 to 100,9 to 16,Sig. above avg.,Trail runners,Under 25,Under 16%,20 and up,Somewhat,Attempted
3531243625,40 to 49,Male,Solo,51 to 100,5 to 8,Above avg.,Trail runners,Under 25,Under 16%,8 to 10,Fairly,Not planned
3527284030,50 to 59,Male,Mix of group/solo,21 to 50,9 to 16,Average,Trail runners,25 to 30,Under 16%,10 to 12,Fairly,Summited
3519953498,Under 30,Female,Group of 2+,21 to 50,5 to 8,Average,Trail runners,Under 25,Under 16%,8 to 10,Minimally,Attempted
3528964955,40 to 49,Male,Group of 2+,21 to 50,5 to 8,Average,Hiking shoes,Under 25,Under 16%,14 to 16,Not at all,Not planned
3548517263,60 and up,Female,Group of 2+,Over 100,Under 2,Decline to state,Trail runners,Under 25,Under 16%,12 to 14,Somewhat,Not planned
3522182682,40 to 49,Male,Group of 2+,21 to 50,9 to 16,Average,Trail runners,25 to 30,Under 16%,12 to 14,Somewhat,Summited
3673978351,40 to 49,Female,Group of 2+,11 to 20,2 to 4,Average,Boots,Under 25,Under 16%,8 to 10,Very,Summited
3520135267,50 to 59,Female,Group of 2+,21 to 50,2 to 4,Average,Boots,Under 25,Under 16%,Under 8,Somewhat,Summited
3664356921,30 to 39,Male,Group of 2+,6 to 10,5 to 8,Below avg.,Hiking shoes,25 to 30,Under 16%,16 to 18,Very,Attempted
3520212977,50 to 59,Male,Group of 2+,21 to 50,9 to 16,Below avg.,Boots,25 to 30,Under 16%,12 to 14,Very,Summited
3542558532,50 to 59,Female,Solo,Over 100,Over 16,Above avg.,Boots,Under 25,Under 16%,Under 8,Minimally,Attempted
3522098416,60 and up,Female,Solo,Over 100,Under 2,Average,Trail runners,25 to 30,Under 16%,Under 8,Not at all,Attempted
3521357000,40 to 49,Female,Group of 2+,Under 5,9 to 16,Below avg.,Boots,25 to 30,Under 16%,Under 8,Minimally,Not planned
3523446079,30 to 39,Male,Solo,Over 100,9 to 16,Average,Trail runners,25 to 30,Under 16%,14 to 16,Minimally,Summited
