incits_code,count,california
1073,1,
1081,1,
1089,2,
1117,1,
1125,1,
4005,3,
4007,1,
4013,15,
4019,2,
4021,1,
4025,1,
6001,59,1
6005,1,1
6007,5,1
6009,2,1
6013,25,1
6015,1,1
6017,11,1
6019,7,1
6023,6,1
6027,3,1
6029,4,1
6031,2,1
6033,2,1
6037,96,1
6039,2,1
6041,13,1
6043,2,1
6047,1,1
6049,1,1
6051,3,1
6053,7,1
6055,6,1
6057,11,1
6059,51,1
6061,10,1
6065,11,1
6067,21,1
6071,12,1
6073,79,1
6077,1,1
6079,19,1
6081,22,1
6083,14,1
6085,54,1
6087,9,1
6089,3,1
6093,2,1
6095,4,1
6097,12,1
6099,5,1
6107,3,1
6109,1,1
6111,16,1
6113,10,1
8005,2,
8013,4,
8035,1,
8037,1,
8041,4,
8045,1,
8069,4,
8083,1,
8117,1,
9001,1,
9003,2,
9009,2,
9011,1,
10003,2,
12009,1,
12019,1,
12031,3,
12057,2,
12069,2,
12073,1,
12086,1,
12099,1,
12103,2,
12113,1,
12119,1,
13057,1,
13067,1,
13077,1,
13089,1,
13105,1,
13117,1,
13121,5,
13139,1,
13145,1,
15009,3,
16001,3,
16005,1,
16013,2,
16019,1,
17019,1,
17031,10,
17085,1,
17097,2,
17103,1,
17111,1,
17113,1,
17119,1,
17201,1,
17203,1,
18005,3,
18057,1,
18089,1,
18097,4,
18127,1,
19103,1,
19113,1,
19193,1,
20019,1,
20045,2,
21067,1,
21151,1,
23009,2,
23013,1,
23015,1,
23019,1,
24021,2,
24027,3,
24031,1,
25001,1,
25009,1,
25015,4,
25017,7,
25025,1,
25027,1,
26065,1,
26075,2,
26081,2,
26093,1,
26115,1,
26125,2,
26139,1,
26143,1,
26161,4,
26163,1,
27037,1,
27053,7,
27111,1,
27123,2,
28089,2,
29057,1,
29077,2,
29097,3,
30013,1,
30029,2,
30063,3,
30077,2,
31055,3,
31109,1,
31153,1,
32003,7,
32019,1,
32031,13,
33003,1,
33015,1,
34019,2,
34021,1,
34023,1,
34027,1,
34037,1,
35001,3,
35009,1,
35049,1,
36019,1,
36027,1,
36039,1,
36047,3,
36057,1,
36059,2,
36061,7,
36071,1,
36103,1,
36113,3,
37021,2,
37039,1,
37063,2,
37067,4,
37089,1,
37119,3,
37129,1,
37135,3,
37173,1,
37175,1,
37179,1,
37183,3,
39003,1,
39017,1,
39049,3,
39057,1,
39061,4,
39075,1,
39105,1,
39115,1,
39133,1,
39153,3,
40027,3,
40073,1,
40109,1,
40131,1,
40143,2,
41003,2,
41005,2,
41007,1,
41009,1,
41017,3,
41029,3,
41039,4,
41043,1,
41047,6,
41051,17,
41059,1,
41063,3,
41067,11,
41071,1,
42003,2,
42011,1,
42017,1,
42029,2,
42077,1,
42085,1,
42101,4,
42129,1,
44001,1,
44005,1,
44007,3,
45015,2,
45019,2,
45077,1,
45083,2,
47017,1,
47037,5,
47141,1,
47149,1,
47155,1,
47165,2,
47187,1,
48029,2,
48085,2,
48113,6,
48121,1,
48141,1,
48157,1,
48187,1,
48201,4,
48209,1,
48231,1,
48251,1,
48373,1,
48439,1,
48453,20,
48491,1,
49005,1,
49011,1,
49035,7,
49043,2,
49053,1,
50007,2,
50015,1,
51005,1,
51013,2,
51059,6,
51101,1,
51107,1,
51121,2,
51153,1,
51161,1,
53011,2,
53033,40,
53035,2,
53037,1,
53045,1,
53057,1,
53061,3,
53063,1,
53067,1,
53073,4,
55025,4,
55059,1,
55063,2,
55079,1,
55133,1,
55139,2,
56001,2,
56039,1,
2020,5,
2090,1,
2122,1,
2110,2,
2170,2,
5143,1,
5131,1,
6075,49,1
8031,7,
11001,7,
15003,1,
17043,3,
24510,1,
27137,1,
29510,1,
29189,1,
33011,2,
35013,2,
51550,1,
51650,1,
51678,1,
51710,1,
51770,1,
51790,1,
51840,1,
None,20,
